260|a	Geocode Location
Impreso con las licencias mecesarias en Mxico :	Mexico City, Mexico
Impreso con las licencias necesarias en Mexico :	Mexico City, Mexico
Impreso con las licencias necessarias en Mexico :	Mexico City, Mexico
Impreso en Mexico, :	Mexico City, Mexico
Impreso en Mexico :	Mexico City, Mexico
Impreso en Mxico 	Mexico City, Mexico
Impreso en Mxico,	Mexico City, Mexico
Impreso en Mxico, :	Mexico City, Mexico
Impreso en Mxico :	Mexico City, Mexico
Impreso en öMxico :	Mexico City, Mexico
Impressa: en Mexico :	Mexico City, Mexico
Impressa con las licencias necessarias en Mexico :	Mexico City, Mexico
Impressa en Lima, y por su original en Mexico :	Mexico City, Mexico
Impressa en Mexico, :	Mexico City, Mexico
Impressa en Mexico,  :	Mexico City, Mexico
Impressa en Mexico, con licencia del Superior Gobierno :	Mexico City, Mexico
Impressa en Mexico :	Mexico City, Mexico
Impressa en Mexico con las licencias necessarias: :	Mexico City, Mexico
Impressa en Mxico :	Mexico City, Mexico
Impressas con las licencias necessarias en Mxico :	Mexico City, Mexico
Impressas en Mexico,con las licensias necessarias :	Mexico City, Mexico
Impressas en Mexico :	Mexico City, Mexico
Impresso, con las licencias necessarias: en Mexico :	Mexico City, Mexico
Impresso: en Mexico :	Mexico City, Mexico
Impresso con las licencias necessarias en Mexico :	Mexico City, Mexico
Impresso con las licencias necessarias en Mexico: :	Mexico City, Mexico
Impresso Conlicencia, y aprobacion en Mexico :	Mexico City, Mexico
Impresso con licencia en Mexico, :	Mexico City, Mexico
Impresso con licencia en Mexico :	Mexico City, Mexico
"Impresso con licencia en Mexico: :;""o de 1654."""	Mexico City, Mexico
Impresso con licentia, en Mexico :	Mexico City, Mexico
Impresso de orden de su excelencia en Mxico :	Mexico City, Mexico
Impresso en Mexico, :	Mexico City, Mexico
Impresso en Mexico, con licencia :	Mexico City, Mexico
Impresso en Mexico :	Mexico City, Mexico
Impresso en Mexico  :	Mexico City, Mexico
Impresso en Mexico: :	Mexico City, Mexico
Impresso en Mexico. :	Mexico City, Mexico
Impresso en Mexico (con las licencias necessarias) :	Mexico City, Mexico
Impresso en Mexico con las licencias necessarias :	Mexico City, Mexico
Impresso en Mexico con licencia :	Mexico City, Mexico
Impresso en Mxico :	Mexico City, Mexico
Impresso en Mxico :	Mexico City, Mexico
Impressos en Mexico :	Mexico City, Mexico
Imprimiose ... en ... Mexico :	Mexico City, Mexico
Imprimio se e[n] la muy gra[n]de & insigne y muy leal ciudad de Mexico, :	Mexico City, Mexico
Inpresso [sic] en Mexico :	Mexico City, Mexico
Iuxta eius exemplar: Mexici, M. DCC. XXVII :	Mexico City, Mexico
La qual fue empressa en Mexico :	Mexico City, Mexico
Mexici, :	Mexico City, Mexico
Mexici, Anno M.D.CCLXI :	Mexico City, Mexico
Mexici, M. DCC. LIII. :	Mexico City, Mexico
Mexici :	Mexico City, Mexico
Mexici. :	Mexico City, Mexico
Mexici M. DCC. LXXXVIII :	Mexico City, Mexico
Mexico,	Mexico City, Mexico
Mexico, :	Mexico City, Mexico
Mexico :	Mexico City, Mexico
Mexico: :	Mexico City, Mexico
Mexico. :	Mexico City, Mexico
Mxico :	Mexico City, Mexico
Mxico: :	Mexico City, Mexico
Reimperesso [sic] en Mexico, :	Mexico City, Mexico
Reimpresa de orden del Exmo. Sr. virrey de esta N. Espaa en Mxico :	Mexico City, Mexico
Reimpresa en Mexico, :	Mexico City, Mexico
Reimpresa en Mexico :	Mexico City, Mexico
Reimpresa en Mxico, :	Mexico City, Mexico
Reimpresa en Mxico :	Mexico City, Mexico
Reimpresa en Mxico: :	Mexico City, Mexico
Reimpresas en Mxico, :	Mexico City, Mexico
Reimpresas en Mxico :	Mexico City, Mexico
Reimpreso en Mexico, :	Mexico City, Mexico
Reimpreso en Mexico :	Mexico City, Mexico
Reimpreso en Mexico: :	Mexico City, Mexico
Reimpreso en Mexico tercera vez. :	Mexico City, Mexico
Reimpreso en Mxico, :	Mexico City, Mexico
Reimpreso en Mxico, :En la Imprenta de la Calle de San Bernardo,	Mexico City, Mexico
Reimpreso en Mxico :	Mexico City, Mexico
Reimpresos en Mexico :	Mexico City, Mexico
Reimpresos en Mxico :	Mexico City, Mexico
Reimpressa, en Mexico, :	Mexico City, Mexico
Reimpressa. En Mexico: :	Mexico City, Mexico
Reimpressa con licencia en Mexico :	Mexico City, Mexico
Reimpressa con licencia en Mexico: :	Mexico City, Mexico
Reimpressa en Mexico,	Mexico City, Mexico
Reimpressa en Mexico, 	Mexico City, Mexico
Reimpressa en Mexico, :	Mexico City, Mexico
Reimpressa en Mexico :	Mexico City, Mexico
Reimpressa en Mexico: :	Mexico City, Mexico
Reimpressa en Mxico, :	Mexico City, Mexico
Reimpressa en Mxico :	Mexico City, Mexico
Reimpressa en Mxico :	Mexico City, Mexico
Reimpressas: en Mexico :	Mexico City, Mexico
Reimpressas en Mexico :	Mexico City, Mexico
Reimpressas en Mxico, :	Mexico City, Mexico
Reimpressas en Mxico :	Mexico City, Mexico
Reimpresso: en Mexico :	Mexico City, Mexico
Reimpresso con licencia, en Mexico :	Mexico City, Mexico
Reimpresso con licencia en Mexico :	Mexico City, Mexico
Reimpresso en Mexico, :	Mexico City, Mexico
Reimpresso en Mexico :	Mexico City, Mexico
Reimpresso en Mexico: :	Mexico City, Mexico
Reimpresso en Mxico, con licencia de los superiores :	Mexico City, Mexico
Reimpressos en Mexico, :	Mexico City, Mexico
Reimpressos en Mexico :	Mexico City, Mexico
Reimpresssa en Mexico :	Mexico City, Mexico
Rempresso en Mexico, :	Mexico City, Mexico
Se imprimio en ... Tenuchtitlan Mexico ... :	Mexico City, Mexico
Superiorum permissu: Mexici :	Mexico City, Mexico
Y por su original en Mexico, :	Mexico City, Mexico
Middleborough,	Middleborough, Massachusetts
Middleborough [Mass.] :	Middleborough, Massachusetts
Middleborough [Mass.]: :	Middleborough, Massachusetts
Middleborough: (County of Plymouth,)	Middleborough, Rhode Island
[Middletown, Conn.? :	Middletown, Connecticut
Middletown, [Conn.] :	Middletown, Connecticut
Middletown [Conn.], :	Middletown, Connecticut
Middletown [Conn.] :	Middletown, Connecticut
Middletown [Conn.]: :	Middletown, Connecticut
Monmouth, N. J.,	Monmouth, New Jersey
Monmouth (N.J.) :	Monmouth, New Jersey
[Montral? :	Montreal, Quebec
[Montreal? :	Montreal, Quebec
A Montral :	Montreal, Quebec
A Montreal :	Montreal, Quebec
Monti-regali [i.e., Montral] :	Montreal, Quebec
[Mount-Holly, N.J.] :	Mount Holly, New Jersey
Nassau, Bahamas,	Nassau, Bahamas
Newark, N.J. :	Newark, New Jersey
Newark, New-Jersey, :	Newark, New Jersey
Newark, New-Jersey:	Newark, New Jersey
Newark, New-Jersey :	Newark, New Jersey
Newark (N.J.) :	Newark, New Jersey
Newark [N.J.] :	Newark, New Jersey
Newark [N.J.]: :	Newark, New Jersey
[New Bedford, Mass.,	New Bedford, Massachusetts
[Newbedford, Massachusetts,	New Bedford, Massachusetts
[New Bedford] :	New Bedford, Massachusetts
Newbedford, (Massachusetts) :	New Bedford, Massachusetts
New Bedford, Mass. :	New Bedford, Massachusetts
New Bedford :	New Bedford, Massachusetts
Newbedford (Mass.),	New Bedford, Massachusetts
Newbedford (Massa.) :	New Bedford, Massachusetts
New Bedford (Massachusetts)	New Bedford, Massachusetts
New-Bedford [Mass.]: :	New Bedford, Massachusetts
Printed at Newbedford, (Massachusetts) :	New Bedford, Massachusetts
Printed at Newbedford, Massachusetts :	New Bedford, Massachusetts
Printed at New Bedford, Massachusetts :	New Bedford, Massachusetts
[Newbern, N.C.?] :	Newbern, North Carolina
Newbern [N.C] :	Newbern, North Carolina
[Newbern, N.C. :	New Bern, North Carolina
[New Bern, N.C. :	New Bern, North Carolina
Newbern, [N.C.] :	New Bern, North Carolina
New Bern, N.C. :	New Bern, North Carolina
Newbern [N.C.] :	New Bern, North Carolina
[New Brunswick, N.J.] :	New Brunswick, New Jersey
[New Jersey :	New Brunswick, New Jersey
New-Brunswick, New-Jersey: :	New Brunswick, New Jersey
New-Brunswick: [N.J.] :	New Brunswick, New Jersey
New-Brunswick [N.J.] :	New Brunswick, New Jersey
New-Brunswick [N.J.]: :	New Brunswick, New Jersey
Newburgh :	Newburgh, New York
Newburgh [N.Y.]:	Newburgh, New York
Newburgh [N.Y.] :	Newburgh, New York
Newbury [Mass.] :	Newbury, Massachusetts
Newbury [Mass.]: :	Newbury, Massachusetts
Newbury, (Vermont) :	Newbury, Vermont
[Newburyport, Ma.,	Newburyport, Massachusetts
[Newburyport, Mass.,	Newburyport, Massachusetts
[Newburyport, Mass.? :	Newburyport, Massachusetts
[Newburyport, Mass.]	Newburyport, Massachusetts
[Newburyport, Mass.] :	Newburyport, Massachusetts
[Newbury Port, Mass.] :	Newburyport, Massachusetts
[Newbury-Port, Mass.] :	Newburyport, Massachusetts
[Newburyport, Mass] :	Newburyport, Massachusetts
[Newburyport] :	Newburyport, Massachusetts
Newbury [i.e., Newburyport, Mass.]: :	Newburyport, Massachusetts
Newbury [i.e., Newburyport, Mass] :	Newburyport, Massachusetts
Newburyport,	Newburyport, Massachusetts
Newbury-port,	Newburyport, Massachusetts
Newbury-Port,	Newburyport, Massachusetts
Newbury-port, [Mass.]	Newburyport, Massachusetts
Newburyport, [Mass.] :	Newburyport, Massachusetts
Newburyport, Mass. :	Newburyport, Massachusetts
Newburyport, Massachusetts. :	Newburyport, Massachusetts
Newbury-Port, New-England: :	Newburyport, Massachusetts
Newburyport:	Newburyport, Massachusetts
Newburyport :	Newburyport, Massachusetts
Newbury-port:	Newburyport, Massachusetts
Newbury-port :	Newburyport, Massachusetts
Newbury-Port :	Newburyport, Massachusetts
Newbury-port: :	Newburyport, Massachusetts
Newbury-Port: [Mass.] :	Newburyport, Massachusetts
Newbury-Port. [Mass] :	Newburyport, Massachusetts
Newburyport (Massachusetts) :	Newburyport, Massachusetts
Newburyport [Mass.]	Newburyport, Massachusetts
Newbury-Port [Mass.]	Newburyport, Massachusetts
Newburyport [Mass.] :	Newburyport, Massachusetts
Newburyport [Mass.]-- :	Newburyport, Massachusetts
Newbury Port [Mass.] :	Newburyport, Massachusetts
Newbury-port [Mass.]:	Newburyport, Massachusetts
Newbury-port [Mass.] :	Newburyport, Massachusetts
Newbury-Port [Mass.] :	Newburyport, Massachusetts
Newburyport [Mass.]: :	Newburyport, Massachusetts
Newbury-port [Mass.]: :	Newburyport, Massachusetts
Newbury-Port [Mass.]: :	Newburyport, Massachusetts
Newburyport [Mass.]. :	Newburyport, Massachusetts
Newbury-port [Mass] :	Newburyport, Massachusetts
Newbury-Port [Mass] :	Newburyport, Massachusetts
Newbury-port [Massachusetts]	Newburyport, Massachusetts
Newbury-Port [Newburyport, Mass.] :	Newburyport, Massachusetts
Newbuyry-Port [sic] [Mass.] :	Newburyport, Massachusetts
Newbuyyport [sic] [Mass.]: :	Newburyport, Massachusetts
Printed at Newburyport, :	Newburyport, Massachusetts
Printed at Newburyport, ... :	Newburyport, Massachusetts
Printed at Newburyport, [Mass.] :	Newburyport, Massachusetts
Printed at Newburyport :	Newburyport, Massachusetts
"Printed at Newburyport [Mass.],;""Philadelphia,"""	Newburyport, Massachusetts
Printed at Newburyport [Mass.], :	Newburyport, Massachusetts
Printed at Newburyport [Mass.] :	Newburyport, Massachusetts
Printed in Newburyport [Mass.] :	Newburyport, Massachusetts
Re-printed at Newburyport [Mass.], :	Newburyport, Massachusetts
Re-printed at Newburyport [Mass.] :	Newburyport, Massachusetts
New-Castle [Del.] :	New Castle, Delaware
New-Castle [Del.]: :	New Castle, Delaware
[New England?	New England, U.S. (state not known)
[New England? :	New England, U.S. (state not known)
New England	New England, U.S. (state not known)
New England,	New England, U.S. (state not known)
New-England :	New England, U.S. (state not known)
Newfield [Conn.] :	Newfield, Connecticut
Printed at Newfield [Conn.], :	Newfield, Connecticut
Printed at Newfield [Conn.] :	Newfield, Connecticut
[New Haven, Conn.? :	New Haven, Connecticut
[New Haven, Conn.] :	New Haven, Connecticut
[New Haven :	New Haven, Connecticut
[New Haven? :	New Haven, Connecticut
[New Haven?] :	New Haven, Connecticut
[New Haven] :	New Haven, Connecticut
New Haven 	New Haven, Connecticut
New Haven,	New Haven, Connecticut
New-Haven,	New Haven, Connecticut
New-Haven, :	New Haven, Connecticut
New Haven, Conn. :	New Haven, Connecticut
New Haven, Ct. :	New Haven, Connecticut
New Haven :	New Haven, Connecticut
New-Haven :	New Haven, Connecticut
New-Haven  :	New Haven, Connecticut
New-Haven-- :	New Haven, Connecticut
New Haven: :	New Haven, Connecticut
New-Haven: :	New Haven, Connecticut
New-Haven.	New Haven, Connecticut
New-Haven. :	New Haven, Connecticut
New Haven [Conn.] :	New Haven, Connecticut
New-Haven [Conn.]  :	New Haven, Connecticut
Novi-Portus :	New Haven, Connecticut
Novo-Portu :	New Haven, Connecticut
Printed at New-Haven, :	New Haven, Connecticut
Printed at New-Haven :	New Haven, Connecticut
[New London, Conn?] :	New London, Connecticut
[New London, Conn. :	New London, Connecticut
[New London, Conn.? :	New London, Connecticut
[New-London, Conn.? :	New London, Connecticut
[New London, Conn.?] :	New London, Connecticut
[New-London, Conn.]	New London, Connecticut
[New London, Conn.] :	New London, Connecticut
[New-London, Conn.] :	New London, Connecticut
[New London :	New London, Connecticut
[New London? :	New London, Connecticut
[New London [Conn.] :	New London, Connecticut
[New London] :	New London, Connecticut
N. London,	New London, Connecticut
N. London [Conn.]	New London, Connecticut
N. London [Conn.], :	New London, Connecticut
N. London [i.e., New London, Conn.],  	New London, Connecticut
N. London [i.e., New London, Conn.], :	New London, Connecticut
N. London [i.e., New London, Conn.] :	New London, Connecticut
N. London [i.e., New London, Conn.]  :	New London, Connecticut
N. London [i.e., New London, Conn.]: :	New London, Connecticut
N. London [i.e. New London, Conn.] :	New London, Connecticut
N. London [i.e. New London, Conn.]  :	New London, Connecticut
N. London [New London, Conn.] :	New London, Connecticut
New-L[ondon,]	New London, Connecticut
New London,	New London, Connecticut
New-London,	New London, Connecticut
New-London, :	New London, Connecticut
New-London, (Conn.)	New London, Connecticut
New-London, (Conn.) :	New London, Connecticut
New London, Conn.,	New London, Connecticut
New London, Conn. :	New London, Connecticut
New-London, N.E. :	New London, Connecticut
New London :	New London, Connecticut
New-London:	New London, Connecticut
New-London :	New London, Connecticut
New-London: :	New London, Connecticut
New-London:-- :	New London, Connecticut
New London: (Connecticut). :	New London, Connecticut
New London [Conn. :	New London, Connecticut
New London [Conn.]	New London, Connecticut
New-London [Conn.], :	New London, Connecticut
New London [Conn.] :	New London, Connecticut
New-London [Conn.] :	New London, Connecticut
New-London [Conn.]: :	New London, Connecticut
New-London [Conn.] in N.E. :	New London, Connecticut
New-London [Conn] :	New London, Connecticut
New-London [Conn]: :	New London, Connecticut
New-London printed:	New London, Connecticut
N London [i.e., new London, Conn.] :	New London, Connecticut
N London [i.e., New London, Conn.] :	New London, Connecticut
N London [i.e. New London, Conn.] :	New London, Connecticut
Novi-Londini [Conn.] :	New London, Connecticut
Printed at New-London, (Connecticut.) :	New London, Connecticut
Printed at New London, Connecticut.	New London, Connecticut
[New Orleans :	New Orleans, Louisiana
[New Orleans] :	New Orleans, Louisiana
A la Nouvelle Orlans :	New Orleans, Louisiana
A la Nouvelle Orleans :	New Orleans, Louisiana
Nouvelle-Orleans,	New Orleans, Louisiana
(Newport [R.I.] :	Newport, Rhode Island
[Newport,	Newport, Rhode Island
[Newport, R.I.:	Newport, Rhode Island
[Newport, R.I. :	Newport, Rhode Island
[Newport, R.I.? :	Newport, Rhode Island
[Newport, R.I.]	Newport, Rhode Island
[Newport, R.I.] :	Newport, Rhode Island
[Newport, Rhode Island] :	Newport, Rhode Island
[Newport, Rhode-Island] :	Newport, Rhode Island
[Newport, RI] :	Newport, Rhode Island
[Newport :	Newport, Rhode Island
[Newport?	Newport, Rhode Island
[Newport? :	Newport, Rhode Island
[Newport?]	Newport, Rhode Island
[Newport? R.I.,	Newport, Rhode Island
[Newport] :	Newport, Rhode Island
[Rhode Island :	Newport, Rhode Island
#N/A	Newport, Rhode Island
A Newport :	Newport, Rhode Island
"Bristol:;""Newport:"""	Newport, Rhode Island
"London printed  ;""Newport [R.I.] :"""	Newport, Rhode Island
Newport	Newport, Rhode Island
Newport,	Newport, Rhode Island
Newport, :	Newport, Rhode Island
Newport, (Rhode-Island) :	Newport, Rhode Island
Newport, [R.I. :	Newport, Rhode Island
Newport, [R.I.] :	Newport, Rhode Island
Newport, [R.I.] June [i.e. July] 13, 1776 :	Newport, Rhode Island
Newport, R.I.,	Newport, Rhode Island
Newport, R. I.,	Newport, Rhode Island
Newport, R.I. :	Newport, Rhode Island
Newport, R. I. :	Newport, Rhode Island
Newport, Rhode Island,	Newport, Rhode Island
Newport, Rhode-Island,	Newport, Rhode Island
Newport, Rhode Island:	Newport, Rhode Island
Newport, Rhode Island :	Newport, Rhode Island
Newport, Rhode-Island :	Newport, Rhode Island
Newport, Rhode Island: :	Newport, Rhode Island
Newport, Rhode-Island: :	Newport, Rhode Island
Newport:	Newport, Rhode Island
Newport :	Newport, Rhode Island
Newport: :	Newport, Rhode Island
Newport (Rhode Island) :	Newport, Rhode Island
Newport (Rhode-Island) :	Newport, Rhode Island
Newport (Rhode Island) :bPrinted by Peter Edes,	Newport, Rhode Island
Newport [R.I.] :	Newport, Rhode Island
Newport [R.I.]: :	Newport, Rhode Island
Newporti [R.I.] :	Newport, Rhode Island
Newport N.E. :	Newport, Rhode Island
Newport Rhode-Island :	Newport, Rhode Island
Newport Rhode-Island: :	Newport, Rhode Island
Philadelphia-Printed:   Newport :	Newport, Rhode Island
Published at Newport :	Newport, Rhode Island
[[New York]	New York, New York
[New York	New York, New York
[New York,	New York, New York
[New York, N.Y. :	New York, New York
[New York, N.Y.] :	New York, New York
[New York :	New York, New York
[New-York :	New York, New York
[New York?	New York, New York
[New York? :	New York, New York
[New York?]	New York, New York
[New York?] :	New York, New York
[New York?] America :	New York, New York
[New York]	New York, New York
[New York] :	New York, New York
[New-York] :	New York, New York
"[New York] :;""New-York:"""	New York, New York
[New York] America :	New York, New York
[New York] Newport--printed. New-York:--reprinted :	New York, New York
Boston [i.e., New York? :	New York, New York
Brooklyn [New York, N.Y.]: :	New York, New York
"London, printed,;""New York,"""	New York, New York
London: printed, and, New-York, re-printed :	New York, New York
N.Y.,	New York, New York
N. York :	New York, New York
N[ew] York :	New York, New York
Neo-Eboraci [i.e. New York] :	New York, New York
New Yokk [sic] :	New York, New York
New York	New York, New York
New-York	New York, New York
New York,	New York, New York
New-York,	New York, New York
"New-York,;""Boston,"""	New York, New York
New York, :	New York, New York
New-York, :	New York, New York
New York, N.Y.,	New York, New York
"New York  ;""London :"""	New York, New York
"New York  ;""London  "";""and Paris :"""	New York, New York
New York:	New York, New York
New York :	New York, New York
New York  :	New York, New York
New-York:	New York, New York
New-York :	New York, New York
New-York-- :	New York, New York
--New-York :	New York, New York
"New York :;""London :"""	New York, New York
New York: :	New York, New York
New-York: :	New York, New York
New York. :	New York, New York
New-York. :	New York, New York
New Yorr [sic] :	New York, New York
Niew-York :	New York, New York
Niew-York: :	New York, New York
"Philadelphia, printed:  ;""New York, :"""	New York, New York
Printed at New-York, :	New York, New York
Printed at New-York :	New York, New York
Printed in New-York :	New York, New York
Te Nieuw-York, :	New York, New York
Te Nieuw-York :	New York, New York
Te Nieu-York, :	New York, New York
Waterford [New York] : :	New York, New York
[Norfolk, Va. :	Norfolk, Virginia
[Norfolk, Va.] :	Norfolk, Virginia
Norfolk, Virginia :	Norfolk, Virginia
Norfolk [Va.] :	Norfolk, Virginia
[Northampton, Mass.] :	Northampton, Massachusetts
Northampton, (Massachusetts) :	Northampton, Massachusetts
Northampton :	Northampton, Massachusetts
Northampton.	Northampton, Massachusetts
Northampton [Mass.],	Northampton, Massachusetts
Northampton [Mass.] :	Northampton, Massachusetts
Northampton [Mass.]: :	Northampton, Massachusetts
Printed, typographically, at Northampton, Massachusetts. :	Northampton, Massachusetts
Printed at Northampton, (Massachusetts) :	Northampton, Massachusetts
Printed at Northampton, Massachusetts,	Northampton, Massachusetts
Printed at Northampton, Massachusetts. :	Northampton, Massachusetts
Printed at Northampton :	Northampton, Massachusetts
Printed at Northampton [Mass.], :	Northampton, Massachusetts
Printed at Northampton [Mass.] :	Northampton, Massachusetts
Printed at Northampton [Mass.]: :	Northampton, Massachusetts
Northampton:	North Hampton, New Hampshire
Northumberland [Pa.] :	Northumberland, Pennsylvania
Northumberland-Town [Pa.] :	Northumberland, Pennsylvania
Printed at Northumberland: reprinted at Salem [Mass.]	Northumberland, Pennsylvania
[Norton, Mass.?	Norton, Massachusetts
[Norwich, Conn. :	Norwich, Connecticut
[Norwich, Conn.? :	Norwich, Connecticut
[Norwich, Conn.] :	Norwich, Connecticut
[Norwich] :	Norwich, Connecticut
Norwich,	Norwich, Connecticut
Norwich :	Norwich, Connecticut
Norwich: :	Norwich, Connecticut
Norwich (Conn.)	Norwich, Connecticut
Norwich (Connecticut)	Norwich, Connecticut
Norwich (Connecticut) :	Norwich, Connecticut
Norwich [Conn.]	Norwich, Connecticut
Norwich [Conn.], :	Norwich, Connecticut
Norwich [Conn.]:	Norwich, Connecticut
Norwich [Conn.]: 	Norwich, Connecticut
Norwich [Conn.] :	Norwich, Connecticut
Norwich [Conn.]: :	Norwich, Connecticut
Norwich [Conn] :	Norwich, Connecticut
Printed, in Norwich, (Connecticut,) :	Norwich, Connecticut
Printed at Norwich [Conn.] :	Norwich, Connecticut
Printed at Norwich [Conn.]: :	Norwich, Connecticut
[Oaxaca? :	Oaxaca, Mexico
Peacham, Vermont, :	Peacham, Vermont
Petersburg, Va.,	Petersburg, Virginia
Petersburg:	Petersburg, Virginia
Petersburg [Va.] :	Petersburg, Virginia
(Philadelphia :	Philadelphia, Pennsylvania
[2nd ed., Philadelphia :	Philadelphia, Pennsylvania
[Philadelphia	Philadelphia, Pennsylvania
[Philadelphia,	Philadelphia, Pennsylvania
[Philadelphia, :	Philadelphia, Pennsylvania
[Philadelphia, Pa. :	Philadelphia, Pennsylvania
[Philadelphia, Printed for H. & P. Rice, and Mathew Carey,	Philadelphia, Pennsylvania
[Philadelphia:	Philadelphia, Pennsylvania
[Philadelphia: 	Philadelphia, Pennsylvania
[Philadelphia :	Philadelphia, Pennsylvania
[Philadelphia?	Philadelphia, Pennsylvania
[Philadelphia? :	Philadelphia, Pennsylvania
[Philadelphia?] :	Philadelphia, Pennsylvania
[Philadelphia]	Philadelphia, Pennsylvania
[Philadelphia]: 	Philadelphia, Pennsylvania
[Philadelphia] :	Philadelphia, Pennsylvania
[Philadelphia]: :	Philadelphia, Pennsylvania
[Philadelphia] America :	Philadelphia, Pennsylvania
[Philadelphia] London, printed :	Philadelphia, Pennsylvania
[S.l. :	Philadelphia, Pennsylvania
[S.l.] :	Philadelphia, Pennsylvania
America :	Philadelphia, Pennsylvania
America [Philadelphia] :	Philadelphia, Pennsylvania
A Philadelphi :	Philadelphia, Pennsylvania
"A Philadelphia,  ;""et se trouve  Paris :"""	Philadelphia, Pennsylvania
"A Philadelphie,  ;""et se trouve  Paris, :"""	Philadelphia, Pennsylvania
"A Philadelphie,  ;""et se trouve  Paris :"""	Philadelphia, Pennsylvania
A Philadelphie, :	Philadelphia, Pennsylvania
A Philadelphie, et se trouve a Paris, :	Philadelphia, Pennsylvania
A Philadelphie :	Philadelphia, Pennsylvania
A Philadelphie  :	Philadelphia, Pennsylvania
A Philadelphie. :	Philadelphia, Pennsylvania
A Philadelphie. [i.e. Paris?] :	Philadelphia, Pennsylvania
A Philadelphie. [i.e. Paris or Brussels? :	Philadelphia, Pennsylvania
A Philadelphie [i.e. Paris?], et se trouve, a Paris, :	Philadelphia, Pennsylvania
A Philadelphie [U.S.] :	Philadelphia, Pennsylvania
Argraphwyd yn Philadelphia :	Philadelphia, Pennsylvania
ç Philadelphie :	Philadelphia, Pennsylvania
Ë Philadelphia,	Philadelphia, Pennsylvania
Ë Philadelphie :	Philadelphia, Pennsylvania
Filadelfia :	Philadelphia, Pennsylvania
Filadelfia [i.e. s.l.] :	Philadelphia, Pennsylvania
"London: Printed, and;""Philadelphia:"""	Philadelphia, Pennsylvania
Phiiladelphia [sic]: :	Philadelphia, Pennsylvania
Phil.,	Philadelphia, Pennsylvania
Phila.,	Philadelphia, Pennsylvania
Philad. :	Philadelphia, Pennsylvania
Philad[elphi]a :	Philadelphia, Pennsylvania
Philad[elphia]	Philadelphia, Pennsylvania
Philada. :	Philadelphia, Pennsylvania
Philadelahia [sic] :	Philadelphia, Pennsylvania
Philadelhpia [sic] :	Philadelphia, Pennsylvania
Philadelpaia [sic] :	Philadelphia, Pennsylvania
Philadelphi¾ :	Philadelphia, Pennsylvania
Philadelphia	Philadelphia, Pennsylvania
Philadelphia 	Philadelphia, Pennsylvania
Philadelphia,	Philadelphia, Pennsylvania
"Philadelphia,;""London,"""	Philadelphia, Pennsylvania
Philadelphia, :	Philadelphia, Pennsylvania
Philadelphia, : bgedruckt bey Henrich Miller, in der Zweyten-Strasse.,	Philadelphia, Pennsylvania
Philadelphia, Pa. :	Philadelphia, Pennsylvania
"Philadelphia, printed ;""London,"""	Philadelphia, Pennsylvania
"Philadelphia, printed ;""London, re-printed,"""	Philadelphia, Pennsylvania
"Philadelphia, printed:;""London,"""	Philadelphia, Pennsylvania
"Philadelphia ;""Boston "";""Reprinted by John Gill and Powars and Willis, in Queen-Street"""	Philadelphia, Pennsylvania
"Philadelphia  ;""London :"""	Philadelphia, Pennsylvania
Philadelphia:	Philadelphia, Pennsylvania
PHILADELPHIA:	Philadelphia, Pennsylvania
Philadelphia: 	Philadelphia, Pennsylvania
Philadelphia:  	Philadelphia, Pennsylvania
Philadelphia :	Philadelphia, Pennsylvania
Philadelphia  :	Philadelphia, Pennsylvania
"Philadelphia :;""and sold by John Dickins, no. 182, Race Street, near Sixth Street,"""	Philadelphia, Pennsylvania
"Philadelphia :;""Baltimore :"""	Philadelphia, Pennsylvania
Philadelphia::	Philadelphia, Pennsylvania
Philadelphia: :	Philadelphia, Pennsylvania
Philadelphia :$bPrinted by B. Franklin and D. Hall, at the New-printing-office ...,	Philadelphia, Pennsylvania
Philadelphia :bPrinted for John Ormrod, by W.W. Woodward ...,	Philadelphia, Pennsylvania
Philadelphia. :	Philadelphia, Pennsylvania
Philadelphia [etc.]	Philadelphia, Pennsylvania
Philadelphia [Pa.] :	Philadelphia, Pennsylvania
Philadelphia [Penn.]	Philadelphia, Pennsylvania
Philadelphiae :	Philadelphia, Pennsylvania
Philadelphiae: :	Philadelphia, Pennsylvania
Philadelphiae: [Philadelphia] :	Philadelphia, Pennsylvania
"Philadelphia printed,;""London,"""	Philadelphia, Pennsylvania
"Philadelphia printed ;""London,"""	Philadelphia, Pennsylvania
Philadelphie,	Philadelphia, Pennsylvania
Philadelphie, :	Philadelphia, Pennsylvania
Philadelphie:	Philadelphia, Pennsylvania
Philadelphie :	Philadelphia, Pennsylvania
Philadelphie  :	Philadelphia, Pennsylvania
Philadelphie. :	Philadelphia, Pennsylvania
Philadelphie [i.e., Philadelphia, Pa. :	Philadelphia, Pennsylvania
Philadelphie [Philadelphia, Pa. :	Philadelphia, Pennsylvania
Philadelpia:	Philadelphia, Pennsylvania
Philadelpohia :	Philadelphia, Pennsylvania
Philladephia [Philadelphia] :	Philadelphia, Pennsylvania
Philladephia [sic] :	Philadelphia, Pennsylvania
PPiladelphia [sic] :	Philadelphia, Pennsylvania
Printed at Philadelphia, :	Philadelphia, Pennsylvania
Printed at Philadelphia :	Philadelphia, Pennsylvania
Printed in Philadelphia :	Philadelphia, Pennsylvania
Te Philadelphia :	Philadelphia, Pennsylvania
